"","NUTS_ID1","Country","Region name","Nutrition and Basic Medical Care","Water and Sanitation","Shelter","Personal Security","Access to Basic Knowledge","Access to ICT","Health and Wellness","Environmental Quality","Personal Rights","Personal Freedom and Choice","Tolerance and Inclusion","Access to Advanced Education","cluster","cluster9","cluster21","gdp","ML3","ML1","ML2","ML4"
"104","ES51","ES","Cataluña",91.0190217925039,83.5143690234952,81.0305180730092,68.4731688781143,61.0297655327656,84.1021889638949,77.1640992459388,36.5790136380249,48.1933570259488,53.6653900040847,69.7150636156278,62.3276611081356,"2",5,15,29300,0.280430535278046,1.02045012496641,-0.477859449239133,-0.788595233346141
"105","ES52","ES","Comunidad Valenciana",89.3080357811588,91.8948303556529,79.2212898646154,68.9695404048571,56.5117059719443,82.6021889638949,74.9391048591762,45.1194049556607,49.284132314184,50.641239623011,69.3122961666007,65.6341064767368,"2",5,15,21900,0.415678418867761,0.860574405526889,-0.711888358959088,-0.821122960381234
"106","ES53","ES","Illes Balears",91.3839994580631,86.9086411196433,74.3361057853521,68.2082084271847,41.1617624164197,84.1021889638949,77.3573681347645,52.9628768917077,48.3581559868489,51.1013373568163,70.1487754781215,49.1243762930294,"2",5,15,22700,0.259826723375396,0.993947130252032,-0.607547160734165,-1.63912485194137
"107","ES61","ES","Andalucía",88.712998599214,80.3246142615725,76.9615344764333,69.3359051421392,51.3609861063571,80.210880521194,73.4855772411632,31.0589999931427,45.3401517632699,42.420573645169,63.4634924465083,55.0150939818883,"2",5,15,18500,-0.078973843984652,0.704020004440935,-1.16050810423965,-1.4408921377342
"108","ES62","ES","Región de Murcia",90.335944266066,93.1033477542928,75.1739129977522,68.0740577110213,50.8408884389311,81.960880521194,72.8973238228466,39.3033703804464,48.5461256439874,47.6953907134253,64.4990120661225,62.4196303112378,"2",5,15,20800,0.149128140316444,0.838759808577335,-0.993663456525844,-0.879477227316403
"109","ES63","ES","Ciudad Autónoma de Ceuta",85.2804732131163,93.197408908191,68.0489512164826,69.6985427774395,46.2546639478707,84.960880521194,72.1204939940536,35.7400052207833,38.4595944472153,49.1043500607859,65.5258797544436,52.149832751511,"2",5,15,20900,-0.102423623660491,0.487708854664081,-1.08712080349192,-1.16221606184311
"110","ES64","ES","Ciudad Autónoma de Melilla",81.781841192391,92.8976648334401,74.1480823837915,66.5628582405199,40.8657157461016,78.960880521194,77.1511695050506,47.5124095697305,38.3784764253359,43.9589287462426,68.3298564114988,57.5530312391411,"2",5,15,19000,0.123282572879114,0.371509285139081,-1.18812575473611,-1.88534788301781
"112","FI19","FI","Länsi-Suomi",83.2657971019325,98.8252269539253,92.2302652540847,78.271366952615,88.0637843599953,88.4615133182805,72.8822814790809,80.8051384797803,66.8771759370678,72.6159942683884,79.4056051276732,96.0907852118807,"1",7,12,30400,1.90025196205921,0.541064841265145,0.694558195428874,0.939917889221804
"113","FI1B","FI","Helsinki-Uusimaa",87.2029798734383,98.803084731438,90.355946125053,73.3772516083662,83.4365020394066,93.8347473918006,77.8990735159696,74.8190586921738,69.6274993718486,78.8180394446363,83.6517501230764,96.3596024161817,"1",7,12,44200,2.02884479501984,0.975750888990776,1.04414084545282,1.03703189339109
"114","FI1C","FI","Etelä-Suomi",83.7152872136963,98.7074792370435,91.3157478368372,78.861676081929,83.8219237789774,89.8002612125577,71.7075148865858,79.8253433178615,66.2987907392626,73.2569628494607,76.064450998732,91.6855432763968,"1",7,12,30400,1.75465247583073,0.51207924875647,0.718971472163542,0.848522864726793
"115","FI1D","FI","Pohjois- ja Itä-Suomi",83.6813637377047,98.3873466347589,90.6998462408004,79.5265705174417,87.8967649810689,88.3840872931484,70.2642869537588,81.6754019318505,67.1681228553749,71.7599093861974,78.3219183905763,93.5309733839237,"1",7,12,28700,1.84486029899572,0.487012989976074,0.629385603956073,0.955428767953222
"117","FR10","FR","Île de France",85.5997496578534,92.9450224255204,82.0084907199057,47.7773444390614,77.6486139453073,86.7152824978232,76.0766654955852,43.2092603033351,55.1262304631529,64.6174771514163,65.8796066914269,88.2018863116348,"1",2,2,52300,0.761853567834622,0.669825539535418,-0.173981096483485,0.699386990473475
"118","FRB0","FR","Centre - Val de Loire",83.8971265356949,93.4205875491466,87.9868699386038,71.4608911690791,74.4081916674115,78.1709736271678,67.6264347660253,59.2949376039504,53.3160749540091,62.5329000647734,67.1528371149858,73.173392000194,"1",2,16,25900,0.621579707357846,0.288457105078611,0.0560610020531249,-0.0230639997581036
"119","FRC1","FR","Bourgogne",81.339824326758,93.0573240159684,86.7304538086499,71.1215731778034,76.0259084327189,79.4209736271678,66.9679195660214,56.1927241532548,54.419791547623,61.4882209748474,68.7854745310702,74.9054880250713,"1",2,16,26100,0.755931695707132,0.136947929837364,-0.0256601888260908,0.031106387384148
"120","FRC2","FR","Franche-Comté",82.6900972204591,92.9712807288145,87.7546060088796,72.0235990486869,75.2241003629288,78.9209736271678,68.0172896467172,53.8634775279053,53.3014301766287,61.4988451920662,68.4428151468337,75.1620187845033,"1",2,16,23900,0.675459561741323,0.248592225451122,-0.0113128707851538,-0.00930881547376555
"121","FRD1","FR","Basse-Normandie",83.6850457338499,92.3180802583202,89.1829529424056,62.3003559629907,75.7971821972254,77.7994562967361,66.4098067222122,62.2697517482827,55.6437302569014,60.791350110974,69.8457404942285,69.2732618064957,"1",2,16,24500,0.748864144891912,0.264188885379849,0.0813891125824846,-0.146700848184856
"122","FRD2","FR","Haute-Normandie",82.4619000794071,92.5665418259777,84.7984269176395,59.6673703281537,72.6295303481741,80.0494562967361,65.9424784624988,56.8651371287303,55.9240727147805,59.6575774052588,67.0329972054363,72.2022398952398,"1",2,16,26000,0.71567218531155,0.165590147179232,-0.142106706920077,-0.0532372429235572
"123","FRE1","FR","Nord-Pas de Calais",82.1208298292287,93.3694151982689,86.6727457668544,62.982333013959,70.8448881849317,79.1814083111977,65.6606543106634,50.8299157831363,57.6909671009586,57.0916666475828,68.0249357654858,77.2153420020673,"1",2,16,25700,0.80508647767282,0.167408243735425,-0.23174870197326,-0.138584703734546
"124","FRE2","FR","Picardie",82.8917371622182,92.9394694991884,83.5979363427409,63.9230661047961,65.0933055396435,79.1814083111977,64.1852768789873,53.6138923817211,56.1007474461844,59.5804157240773,68.10075174776,58.0576702525387,"1",2,4,23200,0.540784868786589,0.147832132849176,-0.0186849162755139,-0.475050308332631
"125","FRF1","FR","Alsace",86.3504172217737,93.9196124140235,90.7999373192563,65.7981215167972,76.017234194463,78.9314083111977,73.5726129686352,44.5029506087769,57.9947353219447,61.2035087273105,69.1995136658081,82.4691049746048,"1",2,16,28700,0.767386600975693,0.669595747143538,0.0131507544869807,0.185733326735745
"126","FRF2","FR","Champagne-Ardenne",82.5642088212982,93.4100742724978,87.8043248033725,62.4004989551034,69.1579356226953,75.4314083111977,64.1176721938625,54.3462713009558,57.4730108614368,58.5639896480823,67.49776054788,68.8559995895187,"1",2,16,26000,0.631765241445965,0.12022554796283,-0.0532292379660402,-0.333489404326558
"127","FRF3","FR","Lorraine",84.8322081843181,93.5763825753674,88.3850661393468,63.8702845689632,74.7077842483353,79.9314083111977,67.6657398292653,51.9679882484446,57.0833159542175,61.0498382274118,69.6385700680523,75.8290780616629,"1",2,16,23000,0.783691799157481,0.406253093610589,0.0244306273308309,0.056647269642461
"128","FRG0","FR","Pays de la Loire",85.9036372548114,92.4963469795995,92.2571750425342,60.8757615468076,78.447378159785,84.5494562967361,71.129037805721,59.360072573276,57.2367577074529,64.0967943489498,72.2470124196611,84.3326755601955,"1",2,16,28200,1.09716876579628,0.596225337142998,0.245063909329373,0.210541166372751
"129","FRH0","FR","Bretagne",84.6829439160468,92.5883421735774,91.1667600388762,61.524268982485,82.5015536797578,83.2994562967361,68.6777916502444,63.4449761579695,59.411584623483,65.0317762085144,72.2379022428411,86.6256863128837,"1",2,16,27200,1.18453523500648,0.444782879040171,0.253441999714132,0.436641547919058
"130","FRI1","FR","Aquitaine",84.9373314153117,89.0165425960048,84.8678720094065,72.4423047425047,76.5325493358787,84.4866066184044,69.0552173238301,58.0560230921524,61.347391062836,63.5982070524624,72.3883338012731,84.8404520578913,"1",2,16,27400,1.15355888000548,0.456893231228951,0.0693918289317804,0.289505712691313
"131","FRI2","FR","Limousin",84.1146482471198,94.8798475158977,90.2123226160844,71.6358154859506,80.1985849762778,79.7366066184044,66.4275431587004,62.2564250429618,60.2559515084697,66.0358275896612,72.0546040247919,81.6924105832369,"1",2,16,23900,1.0561235971801,0.336309632910068,0.328388351062329,0.370679315059583
"132","FRI3","FR","Poitou-Charentes",83.8755470659201,94.8148384192223,90.7371189008361,72.8276187834904,73.9497269483596,84.7366066184044,66.041347176487,60.0918942253464,59.6570702604523,62.0645053678213,67.7037685415873,74.683574115264,"1",2,16,25600,0.987019039562383,0.309628199744832,0.164150486391691,0.0820389488302268
"133","FRJ1","FR","Languedoc-Roussillon",81.50910636439,87.6200394537025,82.4744640561986,68.0320383378655,70.1844225995351,82.3939380721267,67.8085292845444,50.9375818445309,55.5603417566484,58.4019921324667,67.5088620698908,79.7352488370803,"1",2,16,23700,0.802943135159898,0.153366352584004,-0.302906697515734,-0.139841295885251
"134","FRJ2","FR","Midi-Pyrénées",85.6465438668622,88.2637631735471,89.5446155910159,68.0727460661094,78.2720988357484,83.6439380721267,72.2505077477346,56.3343790786713,56.5615567239666,63.960671579438,69.248469539743,92.2419497537439,"1",2,16,27700,1.01486258847277,0.559391702507549,0.072341988956626,0.305183405582316
"135","FRK1","FR","Auvergne",84.7519390898684,93.8993731835681,91.1816661147892,66.8687171732194,76.2110460206695,81.0983604706881,69.7551975617388,59.2662093509795,59.7473598085719,63.1285305960136,71.8055898354795,77.9085009008222,"1",2,16,25700,1.02008494947063,0.471233046710904,0.231033717591142,0.0795861434941813
"136","FRK2","FR","Rhône-Alpes",87.503364768697,88.9718287973323,89.5254614090484,66.5702066792007,78.3126380352612,87.3483604706881,73.0892069420294,43.3703067648438,60.4755932381454,65.1146652251568,71.2794720703572,91.1740734096578,"1",2,16,31600,1.09161750138042,0.771013500395968,0.185619112316233,0.49542009869284
"137","FRL0","FR","Provence-Alpes-Côte d’Azur",83.3555282088864,78.6528748447691,83.3133007693671,64.5039644019463,76.6014135549155,82.8236904004014,69.918073051818,36.85409165489,57.8912460510686,60.791633106418,68.2827504070725,76.1367949262739,"1",2,2,29200,0.680973264858319,0.331947504885691,-0.108811003122139,0.026868997342267
"138","FRM0","FR","Corse",82.2615206829304,78.6512757155994,82.7620248164794,71.8171358842849,56.6552733563541,76.5736904004014,66.4251955597133,53.5824834761668,55.1228015538409,61.8562392526092,67.2564884685168,53.1619618052469,"1",2,4,24100,0.347552303247719,0.0579077948671419,0.190428185480239,-1.19051110683071
"144","HR03","HR","Jadranska Hrvatska",77.9297930904358,92.6943647569793,66.7842753629578,84.5948476557242,84.5818717982915,65.1261642763024,58.4426571619619,43.199171195912,36.9897319386502,49.5908623294529,37.7806951423457,35.1937446596664,"2",6,17,17700,-1.32726546713147,-0.636581289841285,-1.47752546809278,0.478402486970943
"145","HR04","HR","Kontinentalna Hrvatska",76.4833955550332,78.0088781784127,67.8903343231939,74.4587302851741,78.4165267008655,60.2416314504013,53.5127148377537,27.2708035385394,34.3457402619615,54.9101093502646,39.1438189681206,37.7516792943123,"2",6,17,21800,-1.60112929330881,-0.92227735710173,-1.07316600978743,-0.0532472661469493
"146","HU11","HU","Budapest",79.0472271569592,94.5640567707633,75.2616490854411,75.2331867330544,83.4058629942946,81.8992129772214,53.3388563406664,20.5299506091556,39.3054996176568,67.3769945208828,45.9244371738729,72.3354965265861,"2",4,18,46500,-0.557430779102987,-0.490764594534564,-0.409937055717126,1.26902211804823
"147","HU12","HU","Pest",76.3284487951939,85.0484807836787,75.1949821338992,83.4379119504984,79.7472672380313,76.1900023806843,48.8509692614799,29.4538595694099,42.3326453761089,64.6010155018604,37.2048789591804,35.9414287696643,"2",6,9,17900,-1.09834061041406,-0.939133908595493,-0.298492867742788,0.51939659122188
"148","HU21","HU","Közép-Dunántúl",71.8273576843789,92.1600301370055,79.651326773311,82.0754415561926,66.6985743068369,76.2422215771934,44.079643154507,36.6999403458609,45.0458034490518,68.1951077078533,41.966507127537,31.592144366682,"2",6,9,20200,-0.797699117288563,-1.30349639542923,0.193503718233024,-0.0948579907774885
"149","HU22","HU","Nyugat-Dunántúl",70.7715762145903,89.6848555436517,81.8904826331764,88.5805982073005,76.1890999163899,71.9136584012958,45.777502352284,36.7077906999582,44.7855854235462,66.5042376905801,38.8319197053746,32.8125089090371,"2",6,9,21100,-0.930473171426581,-1.3674907312122,0.066115533287067,0.139646084351715
"150","HU23","HU","Dél-Dunántúl",67.8330553268349,80.5722773330145,73.421330859029,81.3132532295959,61.955288800094,69.2639556143155,41.9190322176454,35.3132326738558,42.3515526038144,55.3224045261773,42.5084579860078,34.0834905445447,"2",6,9,15200,-0.895149330946441,-1.69334595957357,-0.62249991708951,-0.853919100771591
"151","HU31","HU","Észak-Magyarország",59.2979300412328,76.6994280501002,68.0209192827571,74.5114280605873,54.5956178111608,68.4284669457677,38.0776433772942,30.6028782818539,37.968385269073,51.9287377156431,37.3581412620528,29.5117224391908,"2",6,9,15100,-1.11524715204108,-2.41082417820452,-0.953956362644574,-1.3156174024836
"152","HU32","HU","Észak-Alföld",71.1844778070243,84.2728167462259,72.0442237059389,68.610774180818,62.5586854481329,69.3322327668681,39.4295413409856,33.4001096025081,41.181847227785,51.1724636716838,36.2319282542328,36.8854774814648,"2",6,9,14800,-1.10836052392697,-1.56557069809054,-0.993974685733343,-0.569893192480653
"153","HU33","HU","Dél-Alföld",71.803286829057,76.7485692116393,74.2043785849161,78.3411260868833,71.8162400598336,68.6511839199259,40.2140123427666,33.757040704509,43.5580079425816,59.4951492050959,40.0673275950921,37.9883968487921,"2",6,9,16600,-1.01633102502243,-1.51167024144327,-0.452428075828434,-0.273526056701443
"154","IE04","IE","Northern and Western",88.4601616645638,82.2404325638329,90.6403831158055,76.5377366521012,85.346755000479,73.4356187418078,73.9832497372245,76.0678611814602,53.4392370328366,70.9491399956631,74.5850001785151,61.7816367438571,"1",2,19,23700,0.597610721071993,0.687561772433702,0.720003531023812,-0.0816676895098367
"155","IE05","IE","Southern",88.568667499488,78.2690217234205,87.9343094172497,77.5322284130501,86.4486946224953,79.3818382382096,73.9927538705739,73.5470596241109,53.0883998933548,72.6285916772078,73.7026696043928,63.6315112333854,"1",2,19,77000,0.661911358717169,0.699690940482999,0.720500754772099,0.0948003970193532
"156","IE06","IE","Eastern and Midland",88.6401536274265,74.579099129317,86.9855206065774,68.601980587877,87.4649547850969,80.4837724001322,76.4008606270637,70.5226031627002,54.4985431196238,74.7444570788295,75.771761426468,67.2363468209117,"1",2,19,64800,0.759229276725168,0.774278807095059,0.813661024863767,0.157285357282156
"157","ITC1","IT","Piemonte",85.3538383227633,85.7249167291813,69.1943912535088,77.1853289119411,68.8219385915192,68.6981295993805,70.4572019452599,17.1551878004513,39.0341711745575,47.7600262566611,57.7944802675759,40.392900424196,"2",5,7,29800,-0.933548343937858,0.339438599135459,-1.23266391824541,-0.506396043601967
"158","ITC2","IT","Valle d'Aosta/Vallée d'Aoste",86.2174808616396,77.6059449294295,79.4609807071444,79.8190550349279,58.8720429584929,70.6981295993805,69.8655681670896,41.1324236331535,40.0884135373182,50.9582222764022,64.0342647508925,33.0512887073876,"2",5,7,36100,-0.553985411555881,0.357592569747462,-0.523018497329089,-1.58935237703194
"159","ITC3","IT","Liguria",85.7802402318035,70.3603911029506,73.8717920189282,75.3433862025058,67.5154420755404,69.1981295993805,71.9354781306716,35.9273135096466,38.418475123175,45.2585819383323,57.0696701251016,41.852340560072,"2",5,7,30100,-0.768178558441992,0.305170757779502,-1.17678224897428,-1.17635521671969
"160","ITC4","IT","Lombardia",88.6958858861707,92.6198889486012,74.6036523180547,74.9955235364557,65.8853480326774,71.1981295993805,75.012517481163,7.7564396430393,47.5627721159034,51.1051733608891,57.4754812925886,44.3175340397718,"2",5,7,37700,-0.751935342237188,0.744923108938237,-0.906618870345391,-0.23507964172046
"161","ITF1","IT","Abruzzo",83.3051420125623,75.8659812987275,61.7520379256049,69.4733162938782,69.6583164819267,66.7150283275023,71.0755920905963,44.0137602584025,31.1311328566908,37.963846754364,51.7677719923084,42.8589173712318,"2",9,20,24000,-1.04611047321673,0.0553818148909612,-2.07207230347716,-0.899692606483773
"162","ITF2","IT","Molise",86.5471290423989,89.1756977485249,74.0593970276589,70.346167806495,73.1583808969708,62.7150283275023,70.2510403694015,45.8055624086094,38.3997476900417,40.8312583442849,53.3794141663361,38.2429044829923,"2",9,20,20800,-0.921907288667986,0.326253560034431,-1.53225618714057,-0.66711684070902
"163","ITF3","IT","Campania",75.5798834461397,79.9904589892736,59.5275288618705,62.9813566515819,54.3527316007908,62.7150283275023,67.5674340004784,29.6959530178877,37.5034109732537,33.3072965475045,48.3565380506922,36.719953550718,"2",9,20,18300,-1.10265703632589,-0.533632586652892,-2.26848985091387,-1.47929783072777
"164","ITF4","IT","Puglia",81.8310530492125,87.3510021310546,68.8277594785426,67.9577451800307,55.8242506341429,62.2150283275023,70.6597145835057,39.6417882782568,32.8631397968084,33.5504558121705,48.637261343392,30.0095681836155,"2",9,20,18600,-1.23645833805482,-0.0285642788294159,-2.01817721286942,-1.58205317827264
"165","ITF5","IT","Basilicata",79.7096016012568,85.3301763559447,69.400349055192,69.1787398470418,72.6487946935506,62.4650283275023,68.7358403456142,46.8767858208608,29.4668586039335,36.8195828106744,51.585359662676,32.4673582626684,"2",9,20,21400,-1.12991020907376,-0.200586591042322,-1.90325078393231,-1.03008902049453
"166","ITF6","IT","Calabria",78.3073868368942,87.1655549560069,69.8200338732685,69.4123030837168,59.3825267832132,61.4650283275023,68.123078449093,44.7116205423826,26.7652300240075,31.2184885356471,48.9293370612117,31.6464432850854,"2",9,20,16700,-1.24674180351301,-0.327684040656653,-2.17278158267447,-1.68531092184787
"167","ITG1","IT","Sicilia",77.995675641959,70.9030292874532,66.7991403198479,74.0604535835522,51.8724235233334,62.2255641600539,69.4126896403473,45.3889898987234,38.1435128624629,29.3302873660639,52.0419927945469,30.1064532135257,"2",9,20,17500,-0.915139919286144,-0.357282334009812,-2.11911156226535,-2.26982323054303
