"","Country","NUTS_ID","Region name","Basic Human Needs","Foundations of Well-Being","Opportunity","Aggregated Index"
"59","DE","DEA1","Düsseldorf",82.6546457055984,67.8524721660232,62.285560257651,70.6767600187086
"60","DE","DEA2","Köln",84.4420992861368,69.5146008634168,64.1963997744311,72.4714270637861
"61","DE","DEA3","Münster",84.397416252984,69.3231166867547,62.6854011012477,71.8553944804399
"62","DE","DEA4","Detmold",85.6215916670914,71.0956039239328,62.2702360266624,72.6822390027239
"63","DE","DEA5","Arnsberg",82.1616213183102,68.3544217807683,62.2567571001492,70.6847850972868
"64","DE","DEB1","Koblenz",87.6820746720693,67.8135506416549,62.844299462846,72.3985922990815
"65","DE","DEB2","Trier",87.0333101039822,69.2160109992697,64.3265537570758,73.2117765733598
"66","DE","DEB3","Rheinhessen-Pfalz",85.8694786669879,67.3671366742218,64.3652467225753,72.233695670887
"67","DE","DEC0","Saarland",83.3450015732815,68.4065614506624,61.2244494855787,70.6988344160214
"68","DE","DED2","Dresden",84.1425342747238,67.3698304995436,61.2192909475988,70.588632334732
"69","DE","DED4","Chemnitz",83.0007263091565,68.3395685825449,58.0831778628609,69.4360028390136
"70","DE","DED5","Leipzig",81.268334985175,68.0338162084904,61.3037310494699,69.9611046290213
"71","DE","DEE0","Sachsen-Anhalt",78.017602912496,67.8229326455641,54.1825484361841,66.3090187019781
"72","DE","DEF0","Schleswig-Holstein",83.8747568008546,72.8446901835404,60.1805416351624,71.9716850217989
"73","DE","DEG0","Thüringen",84.5644910082233,68.8493812184774,62.1560369976237,71.5567002699384
"74","DK","DK01","Hovedstaden",86.7895846484334,76.8174206980811,82.0704572814085,81.8417087097117
"75","DK","DK02","Sjælland",87.3847591724616,77.2486243980826,74.0523666140942,79.4621872501603
"76","DK","DK03","Syddanmark",89.5196125116529,78.1134958473206,77.0987619949349,81.4822426403741
"77","DK","DK04","Midtjylland",89.9742557300937,79.1162356288309,79.7211208395554,82.8638522448114
"78","DK","DK05","Nordjylland",89.0968551972731,78.5330263711505,78.2271131236557,81.8760066619625
"79","EE","EE","Eesti",79.4894370584085,73.6836365790233,61.4791173886223,71.3487920017351
"80","EL","EL30","Attiki",71.0941686613098,51.3743669317914,51.4287597080708,57.6117028695978
"81","EL","EL41","Voreio Aigaio",73.0848321176669,57.8844125389139,42.6474028774681,57.1921386298897
"82","EL","EL42","Notio Aigaio",71.3588623682258,50.2931570165753,35.4521452829919,51.329366515073
"83","EL","EL43","Kriti",75.3243597066421,58.0866873209968,42.9895298817214,58.0494818587611
"84","EL","EL51","Anatoliki Makedonia, Thraki",74.2905370694234,50.0053743252229,42.8106074261793,54.9260100051427
